"value","source","target"
0.0308303422937682,5,8
0.187912887277961,17,3
0.213447780579696,22,9
0.240294965762384,7,23
0.253092460386205,21,1
0.264143533129898,9,13
0.266899857818818,18,26
0.284656720107402,27,10
0.315961186116709,8,6
0.334303497153508,24,4
0.365220238574512,10,13
0.372491776752537,2,6
0.410748830769645,20,25
0.410748830769645,25,20
0.421644618401865,0,1
0.421644618401865,1,0
0.463282803406374,6,13
0.463282803406374,13,6
0.814449771152662,11,12
0.814449771152662,12,11
